id,relation_type,source_key,target_key,formula_name,payload_json
276,SARG_SCORE_TO_GUIDANCE,96bf2e60c4695b05,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.3645151829499916, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.38703576623322117, ""reference_distance_delta"": 0.047366621963195965, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""96bf2e60c4695b05""}"
277,SARG_SCORE_TO_GUIDANCE,37eddb437be5a333,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.37968933209457595, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.3927000150951155, ""reference_distance_delta"": 0.049066741470842945, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""37eddb437be5a333""}"
278,SARG_SCORE_TO_GUIDANCE,3a0d9be6dbfc4a9b,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.28131740106631387, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4179464744765588, ""reference_distance_delta"": 0.05340284098549643, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C03"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.9, ""energy_weight_bias"": 0.35, ""context_penalty_weight"": 0.25}, ""growth_state_hash"": ""3a0d9be6dbfc4a9b""}"
279,SARG_SCORE_TO_GUIDANCE,d34d2647bc64faa3,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.32490234203630586, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.4114373345374683, ""reference_distance_delta"": 0.06063913932986126, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C07"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""d34d2647bc64faa3""}"
280,SARG_SCORE_TO_GUIDANCE,8389fe5e2e0d1796,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.5291909055505866, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.3987046712585229, ""reference_distance_delta"": 0.10497079737195822, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""8389fe5e2e0d1796""}"
281,SARG_SCORE_TO_GUIDANCE,b3ce632709956bb8,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.22136191636619823, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.45215097333086157, ""reference_distance_delta"": 0.09716337528614968, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""b3ce632709956bb8""}"
282,SARG_SCORE_TO_GUIDANCE,ca73f5229bb27d47,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.28769941789584175, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.3868945103602935, ""reference_distance_delta"": 0.07283667723026027, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C07"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""ca73f5229bb27d47""}"
283,SARG_SCORE_TO_GUIDANCE,85490a2a2c5ba5ce,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2921378251365612, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.42166588049015735, ""reference_distance_delta"": 0.06587619915968246, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""85490a2a2c5ba5ce""}"
284,SARG_SCORE_TO_GUIDANCE,72e3466377f7c866,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.4011330566761297, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.3738052743530361, ""reference_distance_delta"": 0.051073469630103174, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""72e3466377f7c866""}"
285,SARG_SCORE_TO_GUIDANCE,7f45ebd56df6e075,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.16001818508857035, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4474923220579666, ""reference_distance_delta"": 0.06588606363984047, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""7f45ebd56df6e075""}"
286,SARG_SCORE_TO_GUIDANCE,425d97e45be058e3,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.08956243343760145, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.40596883090978847, ""reference_distance_delta"": 0.05876025124016263, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C02"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""425d97e45be058e3""}"
287,SARG_SCORE_TO_GUIDANCE,bcd6972fc48f607b,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.06069598951114197, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40688462934963404, ""reference_distance_delta"": 0.0741403448584461, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""bcd6972fc48f607b""}"
288,SARG_SCORE_TO_GUIDANCE,6bb91841d4cb7d7a,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.09765176801704151, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.3885130582538432, ""reference_distance_delta"": 0.09112224110544112, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C08"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""6bb91841d4cb7d7a""}"
289,SARG_SCORE_TO_GUIDANCE,0d8bbcd8a2c381cb,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.1900511426719348, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.38125668346819347, ""reference_distance_delta"": 0.09464169759182134, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C07"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""0d8bbcd8a2c381cb""}"
290,SARG_SCORE_TO_GUIDANCE,684ffcc0b87f320d,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.15620925835022942, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.4222179732190928, ""reference_distance_delta"": 0.023867104532048464, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""684ffcc0b87f320d""}"
291,SARG_SCORE_TO_GUIDANCE,69ea7627e7bdb67a,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.004974177227426768, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.43471294894259305, ""reference_distance_delta"": 0.05562465762261963, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C07"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""69ea7627e7bdb67a""}"
292,SARG_SCORE_TO_GUIDANCE,2753d7e289ee94b8,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.07757850627786134, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.38191596203904254, ""reference_distance_delta"": 0.10739797764026737, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""2753d7e289ee94b8""}"
293,SARG_SCORE_TO_GUIDANCE,e2c0b5d95d23f41f,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.0, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.41729045246853474, ""reference_distance_delta"": 0.08459256095917284, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""e2c0b5d95d23f41f""}"
294,SARG_SCORE_TO_GUIDANCE,57eec6caf071ec54,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.0, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.3908027627468405, ""reference_distance_delta"": 0.1112472636605307, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""57eec6caf071ec54""}"
295,SARG_SCORE_TO_GUIDANCE,f833139b17b714dc,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.0, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.3901420392760343, ""reference_distance_delta"": 0.11246931237491925, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""f833139b17b714dc""}"
296,SARG_SCORE_TO_GUIDANCE,7ab23a97765b7a19,R005,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.1264547880782531, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=5"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R005"", ""reference_score"": 0.3632981543401399, ""reference_distance_delta"": 0.11160090753410255, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R005"", ""R017"", ""R059""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=5"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""7ab23a97765b7a19""}"
297,SARG_SCORE_TO_GUIDANCE,29492fd26e020313,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.026719429429539532, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4280917554017775, ""reference_distance_delta"": 0.0580275712831622, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C03"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.9, ""energy_weight_bias"": 0.35, ""context_penalty_weight"": 0.25}, ""growth_state_hash"": ""29492fd26e020313""}"
298,SARG_SCORE_TO_GUIDANCE,2231d024b1bfab84,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.027180155919087012, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P3;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.39968989015583245, ""reference_distance_delta"": 0.09424663524311702, ""confidence"": 0.5, ""biological_phase"": ""P3"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R015"", ""R040""], ""reason_code"": ""SARG:P3:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""2231d024b1bfab84""}"
